InvoiceApprovalDate,SalesOrderId,CustomerId,Remarks,InvoiceAmount,FullyPaid,PartlyPaid,Transactions,AmountPaid,AmountDue,PaidPercent,LastPaymentDate,DaysToPay,PaidInvoice,TransacRecords,PaidInvoicesNo,PaidInvoicesTotal,LatePaidInvoicesNo,LatePaidInvoicesTotal,LateInvoiceAmounts,TotalDaysPaidLate,NoOutstandingInvoices,NoLateOutstandingInvoices,OutstandingTotal,LateOutstandingTotal,LateOutstandingAmounts,TotalDaysLateOutstanding,RatioPaidLate,RatioPaidLateSum,RatioOutstandingLate,RatioOutstandingLateSum,label
2021-01-13,16a9d33a-7fe3-41bc-9f46-e51305079b1d,01eb0dd4-99ac-413d-e76d-08d8540dc0ba,,546900.0,True,False,"[[Timestamp('2021-01-13 00:00:00'), 546900.0]]",546900.0,0.0,100.0,2021-01-13,0,-1,"[[Timestamp('2021-01-13 00:00:00'), 546900.0, 100.0, Timestamp('2021-01-13 00:00:00'), 0], [Timestamp('2021-02-09 00:00:00'), 920000.0, 100.0, Timestamp('2021-02-09 00:00:00'), 0], [Timestamp('2021-02-11 00:00:00'), 756675.0, 100.0, Timestamp('2021-03-10 00:00:00'), 27], [Timestamp('2021-02-16 00:00:00'), 680625.0, 99.91551882460972, Timestamp('2021-03-19 00:00:00'), 31], [Timestamp('2021-03-10 00:00:00'), 920000.0, 100.0, Timestamp('2021-04-30 00:00:00'), 51], [Timestamp('2021-03-12 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-12 00:00:00'), 0], [Timestamp('2021-03-19 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-19 00:00:00'), 0], [Timestamp('2021-03-31 00:00:00'), 489900.0, 100.0, Timestamp('2021-03-31 00:00:00'), 0], [Timestamp('2021-04-13 00:00:00'), 420000.0, 100.0, Timestamp('2021-04-13 00:00:00'), 0], [Timestamp('2021-04-21 00:00:00'), 1050000.0, 100.0, Timestamp('2021-04-21 00:00:00'), 0], [Timestamp('2021-04-23 00:00:00'), 1084425.0, 99.96080872351708, Timestamp('2021-04-26 00:00:00'), 3]]",0,0.0,0,0.0,,0,0,0,0.0,0.0,,0,,,,,
2021-02-09,f865a844-be47-4ca5-8886-e799dcdbedb8,01eb0dd4-99ac-413d-e76d-08d8540dc0ba,,920000.0,True,False,"[[Timestamp('2021-02-09 00:00:00'), 920000.0]]",920000.0,0.0,100.0,2021-02-09,0,1,"[[Timestamp('2021-01-13 00:00:00'), 546900.0, 100.0, Timestamp('2021-01-13 00:00:00'), 0], [Timestamp('2021-02-09 00:00:00'), 920000.0, 100.0, Timestamp('2021-02-09 00:00:00'), 0], [Timestamp('2021-02-11 00:00:00'), 756675.0, 100.0, Timestamp('2021-03-10 00:00:00'), 27], [Timestamp('2021-02-16 00:00:00'), 680625.0, 99.91551882460972, Timestamp('2021-03-19 00:00:00'), 31], [Timestamp('2021-03-10 00:00:00'), 920000.0, 100.0, Timestamp('2021-04-30 00:00:00'), 51], [Timestamp('2021-03-12 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-12 00:00:00'), 0], [Timestamp('2021-03-19 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-19 00:00:00'), 0], [Timestamp('2021-03-31 00:00:00'), 489900.0, 100.0, Timestamp('2021-03-31 00:00:00'), 0], [Timestamp('2021-04-13 00:00:00'), 420000.0, 100.0, Timestamp('2021-04-13 00:00:00'), 0], [Timestamp('2021-04-21 00:00:00'), 1050000.0, 100.0, Timestamp('2021-04-21 00:00:00'), 0], [Timestamp('2021-04-23 00:00:00'), 1084425.0, 99.96080872351708, Timestamp('2021-04-26 00:00:00'), 3]]",1,546900.0,0,0.0,,0,0,0,0.0,0.0,,0,0.0,0.0,,,
2021-02-11,e6e250a3-19ae-4d84-b886-a359f2d69e9e,01eb0dd4-99ac-413d-e76d-08d8540dc0ba,Kindly approve sir.,756675.0,True,False,"[[Timestamp('2021-01-15 00:00:00'), 152500.0], [Timestamp('2021-03-02 00:00:00'), 114000.0], [Timestamp('2021-03-10 00:00:00'), 490175.0]]",756675.0,0.0,100.0,2021-03-10,27,1,"[[Timestamp('2021-01-13 00:00:00'), 546900.0, 100.0, Timestamp('2021-01-13 00:00:00'), 0], [Timestamp('2021-02-09 00:00:00'), 920000.0, 100.0, Timestamp('2021-02-09 00:00:00'), 0], [Timestamp('2021-02-11 00:00:00'), 756675.0, 100.0, Timestamp('2021-03-10 00:00:00'), 27], [Timestamp('2021-02-16 00:00:00'), 680625.0, 99.91551882460972, Timestamp('2021-03-19 00:00:00'), 31], [Timestamp('2021-03-10 00:00:00'), 920000.0, 100.0, Timestamp('2021-04-30 00:00:00'), 51], [Timestamp('2021-03-12 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-12 00:00:00'), 0], [Timestamp('2021-03-19 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-19 00:00:00'), 0], [Timestamp('2021-03-31 00:00:00'), 489900.0, 100.0, Timestamp('2021-03-31 00:00:00'), 0], [Timestamp('2021-04-13 00:00:00'), 420000.0, 100.0, Timestamp('2021-04-13 00:00:00'), 0], [Timestamp('2021-04-21 00:00:00'), 1050000.0, 100.0, Timestamp('2021-04-21 00:00:00'), 0], [Timestamp('2021-04-23 00:00:00'), 1084425.0, 99.96080872351708, Timestamp('2021-04-26 00:00:00'), 3]]",2,1466900.0,0,0.0,,0,0,0,0.0,0.0,,0,0.0,0.0,,,0-30
2021-02-16,b1fad613-4653-4786-bbe0-2517a5cfc78d,01eb0dd4-99ac-413d-e76d-08d8540dc0ba,Kindly approve sir.,680625.0,False,True,"[[Timestamp('2021-02-16 00:00:00'), 680000.0], [Timestamp('2021-03-19 00:00:00'), 50.0]]",680050.0,575.0,99.91551882460972,2021-03-19,31,0,"[[Timestamp('2021-01-13 00:00:00'), 546900.0, 100.0, Timestamp('2021-01-13 00:00:00'), 0], [Timestamp('2021-02-09 00:00:00'), 920000.0, 100.0, Timestamp('2021-02-09 00:00:00'), 0], [Timestamp('2021-02-11 00:00:00'), 756675.0, 100.0, Timestamp('2021-03-10 00:00:00'), 27], [Timestamp('2021-02-16 00:00:00'), 680625.0, 99.91551882460972, Timestamp('2021-03-19 00:00:00'), 31], [Timestamp('2021-03-10 00:00:00'), 920000.0, 100.0, Timestamp('2021-04-30 00:00:00'), 51], [Timestamp('2021-03-12 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-12 00:00:00'), 0], [Timestamp('2021-03-19 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-19 00:00:00'), 0], [Timestamp('2021-03-31 00:00:00'), 489900.0, 100.0, Timestamp('2021-03-31 00:00:00'), 0], [Timestamp('2021-04-13 00:00:00'), 420000.0, 100.0, Timestamp('2021-04-13 00:00:00'), 0], [Timestamp('2021-04-21 00:00:00'), 1050000.0, 100.0, Timestamp('2021-04-21 00:00:00'), 0], [Timestamp('2021-04-23 00:00:00'), 1084425.0, 99.96080872351708, Timestamp('2021-04-26 00:00:00'), 3]]",2,1466900.0,0,0.0,,0,1,0,756675.0,0.0,,0,0.0,0.0,0.0,0.0,31-60
2021-03-10,2f63d893-7d58-497d-88aa-3714662c05f5,01eb0dd4-99ac-413d-e76d-08d8540dc0ba,,920000.0,True,False,"[[Timestamp('2021-02-11 00:00:00'), 756600.0], [Timestamp('2021-04-30 00:00:00'), 163400.0]]",920000.0,0.0,100.0,2021-04-30,51,0,"[[Timestamp('2021-01-13 00:00:00'), 546900.0, 100.0, Timestamp('2021-01-13 00:00:00'), 0], [Timestamp('2021-02-09 00:00:00'), 920000.0, 100.0, Timestamp('2021-02-09 00:00:00'), 0], [Timestamp('2021-02-11 00:00:00'), 756675.0, 100.0, Timestamp('2021-03-10 00:00:00'), 27], [Timestamp('2021-02-16 00:00:00'), 680625.0, 99.91551882460972, Timestamp('2021-03-19 00:00:00'), 31], [Timestamp('2021-03-10 00:00:00'), 920000.0, 100.0, Timestamp('2021-04-30 00:00:00'), 51], [Timestamp('2021-03-12 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-12 00:00:00'), 0], [Timestamp('2021-03-19 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-19 00:00:00'), 0], [Timestamp('2021-03-31 00:00:00'), 489900.0, 100.0, Timestamp('2021-03-31 00:00:00'), 0], [Timestamp('2021-04-13 00:00:00'), 420000.0, 100.0, Timestamp('2021-04-13 00:00:00'), 0], [Timestamp('2021-04-21 00:00:00'), 1050000.0, 100.0, Timestamp('2021-04-21 00:00:00'), 0], [Timestamp('2021-04-23 00:00:00'), 1084425.0, 99.96080872351708, Timestamp('2021-04-26 00:00:00'), 3]]",2,1466900.0,0,0.0,,0,1,0,680625.0,0.0,,0,0.0,0.0,0.0,0.0,31-60
2021-03-12,f8e5b904-7e02-411d-a021-2d23be9fd643,01eb0dd4-99ac-413d-e76d-08d8540dc0ba,,483450.0,True,False,"[[Timestamp('2021-03-12 00:00:00'), 483450.0]]",483450.0,0.0,100.0,2021-03-12,0,0,"[[Timestamp('2021-01-13 00:00:00'), 546900.0, 100.0, Timestamp('2021-01-13 00:00:00'), 0], [Timestamp('2021-02-09 00:00:00'), 920000.0, 100.0, Timestamp('2021-02-09 00:00:00'), 0], [Timestamp('2021-02-11 00:00:00'), 756675.0, 100.0, Timestamp('2021-03-10 00:00:00'), 27], [Timestamp('2021-02-16 00:00:00'), 680625.0, 99.91551882460972, Timestamp('2021-03-19 00:00:00'), 31], [Timestamp('2021-03-10 00:00:00'), 920000.0, 100.0, Timestamp('2021-04-30 00:00:00'), 51], [Timestamp('2021-03-12 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-12 00:00:00'), 0], [Timestamp('2021-03-19 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-19 00:00:00'), 0], [Timestamp('2021-03-31 00:00:00'), 489900.0, 100.0, Timestamp('2021-03-31 00:00:00'), 0], [Timestamp('2021-04-13 00:00:00'), 420000.0, 100.0, Timestamp('2021-04-13 00:00:00'), 0], [Timestamp('2021-04-21 00:00:00'), 1050000.0, 100.0, Timestamp('2021-04-21 00:00:00'), 0], [Timestamp('2021-04-23 00:00:00'), 1084425.0, 99.96080872351708, Timestamp('2021-04-26 00:00:00'), 3]]",3,2223575.0,0,0.0,,0,2,0,1600625.0,0.0,,0,0.0,0.0,0.0,0.0,
2021-03-19,93b85d28-b266-4bee-97fa-a83279d1a8f5,01eb0dd4-99ac-413d-e76d-08d8540dc0ba,,483450.0,True,False,"[[Timestamp('2021-03-19 00:00:00'), 483450.0]]",483450.0,0.0,100.0,2021-03-19,0,1,"[[Timestamp('2021-01-13 00:00:00'), 546900.0, 100.0, Timestamp('2021-01-13 00:00:00'), 0], [Timestamp('2021-02-09 00:00:00'), 920000.0, 100.0, Timestamp('2021-02-09 00:00:00'), 0], [Timestamp('2021-02-11 00:00:00'), 756675.0, 100.0, Timestamp('2021-03-10 00:00:00'), 27], [Timestamp('2021-02-16 00:00:00'), 680625.0, 99.91551882460972, Timestamp('2021-03-19 00:00:00'), 31], [Timestamp('2021-03-10 00:00:00'), 920000.0, 100.0, Timestamp('2021-04-30 00:00:00'), 51], [Timestamp('2021-03-12 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-12 00:00:00'), 0], [Timestamp('2021-03-19 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-19 00:00:00'), 0], [Timestamp('2021-03-31 00:00:00'), 489900.0, 100.0, Timestamp('2021-03-31 00:00:00'), 0], [Timestamp('2021-04-13 00:00:00'), 420000.0, 100.0, Timestamp('2021-04-13 00:00:00'), 0], [Timestamp('2021-04-21 00:00:00'), 1050000.0, 100.0, Timestamp('2021-04-21 00:00:00'), 0], [Timestamp('2021-04-23 00:00:00'), 1084425.0, 99.96080872351708, Timestamp('2021-04-26 00:00:00'), 3]]",4,2707025.0,0,0.0,,0,2,1,1600625.0,680625.0,[680625.0],31,0.0,0.0,0.5,0.4252245216712221,
2021-03-31,5b38835f-9a1a-4094-95f7-efbf10ff4a7f,01eb0dd4-99ac-413d-e76d-08d8540dc0ba,,489900.0,True,False,"[[Timestamp('2021-03-31 00:00:00'), 489900.0]]",489900.0,0.0,100.0,2021-03-31,0,1,"[[Timestamp('2021-01-13 00:00:00'), 546900.0, 100.0, Timestamp('2021-01-13 00:00:00'), 0], [Timestamp('2021-02-09 00:00:00'), 920000.0, 100.0, Timestamp('2021-02-09 00:00:00'), 0], [Timestamp('2021-02-11 00:00:00'), 756675.0, 100.0, Timestamp('2021-03-10 00:00:00'), 27], [Timestamp('2021-02-16 00:00:00'), 680625.0, 99.91551882460972, Timestamp('2021-03-19 00:00:00'), 31], [Timestamp('2021-03-10 00:00:00'), 920000.0, 100.0, Timestamp('2021-04-30 00:00:00'), 51], [Timestamp('2021-03-12 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-12 00:00:00'), 0], [Timestamp('2021-03-19 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-19 00:00:00'), 0], [Timestamp('2021-03-31 00:00:00'), 489900.0, 100.0, Timestamp('2021-03-31 00:00:00'), 0], [Timestamp('2021-04-13 00:00:00'), 420000.0, 100.0, Timestamp('2021-04-13 00:00:00'), 0], [Timestamp('2021-04-21 00:00:00'), 1050000.0, 100.0, Timestamp('2021-04-21 00:00:00'), 0], [Timestamp('2021-04-23 00:00:00'), 1084425.0, 99.96080872351708, Timestamp('2021-04-26 00:00:00'), 3]]",7,4551725.0,1,680625.0,[680625.0],31,1,0,920000.0,0.0,,0,0.1428571428571428,0.1495312216796928,0.0,0.0,
2021-04-13,a43ee81d-0421-43ba-b137-ef2e81055fc9,01eb0dd4-99ac-413d-e76d-08d8540dc0ba,,420000.0,True,False,"[[Timestamp('2021-04-13 00:00:00'), 420000.0]]",420000.0,0.0,100.0,2021-04-13,0,1,"[[Timestamp('2021-01-13 00:00:00'), 546900.0, 100.0, Timestamp('2021-01-13 00:00:00'), 0], [Timestamp('2021-02-09 00:00:00'), 920000.0, 100.0, Timestamp('2021-02-09 00:00:00'), 0], [Timestamp('2021-02-11 00:00:00'), 756675.0, 100.0, Timestamp('2021-03-10 00:00:00'), 27], [Timestamp('2021-02-16 00:00:00'), 680625.0, 99.91551882460972, Timestamp('2021-03-19 00:00:00'), 31], [Timestamp('2021-03-10 00:00:00'), 920000.0, 100.0, Timestamp('2021-04-30 00:00:00'), 51], [Timestamp('2021-03-12 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-12 00:00:00'), 0], [Timestamp('2021-03-19 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-19 00:00:00'), 0], [Timestamp('2021-03-31 00:00:00'), 489900.0, 100.0, Timestamp('2021-03-31 00:00:00'), 0], [Timestamp('2021-04-13 00:00:00'), 420000.0, 100.0, Timestamp('2021-04-13 00:00:00'), 0], [Timestamp('2021-04-21 00:00:00'), 1050000.0, 100.0, Timestamp('2021-04-21 00:00:00'), 0], [Timestamp('2021-04-23 00:00:00'), 1084425.0, 99.96080872351708, Timestamp('2021-04-26 00:00:00'), 3]]",8,5041625.0,1,680625.0,[680625.0],31,1,1,920000.0,920000.0,[920000.0],34,0.125,0.1350011157117001,1.0,1.0,
2021-04-21,bef2f532-7e99-437f-ba40-50611db247a7,01eb0dd4-99ac-413d-e76d-08d8540dc0ba,,1050000.0,True,False,"[[Timestamp('2021-04-21 00:00:00'), 1050000.0]]",1050000.0,0.0,100.0,2021-04-21,0,1,"[[Timestamp('2021-01-13 00:00:00'), 546900.0, 100.0, Timestamp('2021-01-13 00:00:00'), 0], [Timestamp('2021-02-09 00:00:00'), 920000.0, 100.0, Timestamp('2021-02-09 00:00:00'), 0], [Timestamp('2021-02-11 00:00:00'), 756675.0, 100.0, Timestamp('2021-03-10 00:00:00'), 27], [Timestamp('2021-02-16 00:00:00'), 680625.0, 99.91551882460972, Timestamp('2021-03-19 00:00:00'), 31], [Timestamp('2021-03-10 00:00:00'), 920000.0, 100.0, Timestamp('2021-04-30 00:00:00'), 51], [Timestamp('2021-03-12 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-12 00:00:00'), 0], [Timestamp('2021-03-19 00:00:00'), 483450.0, 100.0, Timestamp('2021-03-19 00:00:00'), 0], [Timestamp('2021-03-31 00:00:00'), 489900.0, 100.0, Timestamp('2021-03-31 00:00:00'), 0], [Timestamp('2021-04-13 00:00:00'), 420000.0, 100.0, Timestamp('2021-04-13 00:00:00'), 0], [Timestamp('2021-04-21 00:00:00'), 1050000.0, 100.0, Timestamp('2021-04-21 00:00:00'), 0], [Timestamp('2021-04-23 00:00:00'), 1084425.0, 99.96080872351708, Timestamp('2021-04-26 00:00:00'), 3]]",9,5461625.0,1,680625.0,[680625.0],31,1,1,920000.0,920000.0,[920000.0],42,0.1111111111111111,0.1246195042684182,1.0,1.0,
